conversation,user_thoughts,student_info
"[{'user_input': 'ddd', 'response': '여기에 실제 답변이 표시됩니다.'}, {'user_input': 'dd', 'response': '여기에 실제 답변이 표시됩니다.'}]",,"{'이름': 'cdddfd', '핸드폰 번호': 'cvcdddfd', '대학교': 'cvcdfd', '학년': 'sss', '전공': 'cvcv'}"
"[{'user_input': 'ssss', 'response': '여기에 실제 답변이 표시됩니다.'}]",,"{'이름': 'cdddfd', '핸드폰 번호': 'cvcdddfdcc', '대학교': 'cvcdfd', '학년': '1학년', '전공': 'cvcv'}"
"[{'user_input': 'ㅌㅌㅌ', 'response': '여기에 실제 답변이 표시됩니다.'}]",,"{'이름': '', '핸드폰 번호': '', '대학교': '', '학년': '', '전공': ''}"
"[{'user_input': 'ㅇㅇ', 'response': '여기에 실제 답변이 표시됩니다.'}]",,"{'이름': '', '핸드폰 번호': '', '대학교': '', '학년': '', '전공': ''}"
"[{""user_input"": ""\u314c\u314a\u314c"", ""response"": ""\uc5ec\uae30\uc5d0 \uc2e4\uc81c \ub2f5\ubcc0\uc774 \ud45c\uc2dc\ub429\ub2c8\ub2e4.""}, {""user_input"": ""\u314c\u314a"", ""response"": ""\uc5ec\uae30\uc5d0 \uc2e4\uc81c \ub2f5\ubcc0\uc774 \ud45c\uc2dc\ub429\ub2c8\ub2e4.""}, {""user_input"": ""\u3134\u3147\u3147"", ""response"": ""\uc5ec\uae30\uc5d0 \uc2e4\uc81c \ub2f5\ubcc0\uc774 \ud45c\uc2dc\ub429\ub2c8\ub2e4.""}, {""user_input"": ""\u3134\u3147\u3134\u3147"", ""response"": ""\uc5ec\uae30\uc5d0 \uc2e4\uc81c \ub2f5\ubcc0\uc774 \ud45c\uc2dc\ub429\ub2c8\ub2e4.""}]","['ㅊ', 'ㅊ', 'ㅊ']","{""\uc774\ub984"": ""\u314a"", ""\ud578\ub4dc\ud3f0 \ubc88\ud638"": ""\u314a"", ""\ub300\ud559\uad50"": ""\u314a"", ""\ud559\ub144"": ""2\ud559\ub144"", ""\uc804\uacf5"": """"}"
"[{""user_input"": ""\u3147\u3139\u3134\u3139\u3147\u3141\u3139\u3147\u3134"", ""response"": ""\uc5ec\uae30\uc5d0 \uc2e4\uc81c \ub2f5\ubcc0\uc774 \ud45c\uc2dc\ub429\ub2c8\ub2e4.""}, {""user_input"": ""\u3147\u3139\u3134\u3139\u3147\u3141\u3139\u3147\u3134\u3147\u313b"", ""response"": ""\uc5ec\uae30\uc5d0 \uc2e4\uc81c \ub2f5\ubcc0\uc774 \ud45c\uc2dc\ub429\ub2c8\ub2e4.""}, {""user_input"": ""\u314c\u314a\u314c\u314a"", ""response"": ""\uc5ec\uae30\uc5d0 \uc2e4\uc81c \ub2f5\ubcc0\uc774 \ud45c\uc2dc\ub429\ub2c8\ub2e4.""}]","['ㅇ', 'ㅇ', 'ㅇ']",{}
"[{""user_input"": ""\uc5d0\ub9ad\uc2a8"", ""response"": ""\uac00\uc9dc \ub2f5\ubcc0 2""}, {""user_input"": ""\ub2f5\uc774"", ""response"": ""\uc5ec\uae30\uc5d0 \uc2e4\uc81c \ub2f5\ubcc0\uc774 \ud45c\uc2dc\ub429\ub2c8\ub2e4.""}, {""user_input"": ""\ub098\uc624\ub124"", ""response"": ""\uc5ec\uae30\uc5d0 \uc2e4\uc81c \ub2f5\ubcc0\uc774 \ud45c\uc2dc\ub429\ub2c8\ub2e4.""}, {""user_input"": ""\uc62c"", ""response"": ""\uc5ec\uae30\uc5d0 \uc2e4\uc81c \ub2f5\ubcc0\uc774 \ud45c\uc2dc\ub429\ub2c8\ub2e4.""}]","['ㅇ', 'ㅇ', '']",{}
"[{""user_input"": ""\u3140"", ""response"": ""\uc5ec\uae30\uc5d0 \uc2e4\uc81c \ub2f5\ubcc0\uc774 \ud45c\uc2dc\ub429\ub2c8\ub2e4.""}]","[""\u3147"", ""\u3147"", ""\u3139""]",{}
"[{""user_input"": ""\u314e\u314e"", ""response"": ""\uc5ec\uae30\uc5d0 \uc2e4\uc81c \ub2f5\ubcc0\uc774 \ud45c\uc2dc\ub429\ub2c8\ub2e4.""}]","[""\u3147"", ""\u3147"", ""0""]",{}
"[{""user_input"": ""\u314a\u314a"", ""response"": ""\uc5ec\uae30\uc5d0 \uc2e4\uc81c \ub2f5\ubcc0\uc774 \ud45c\uc2dc\ub429\ub2c8\ub2e4.""}]","[""\u3147"", ""\u3147"", ""0""]",{}
"[{""user_input"": ""\u3147"", ""response"": ""\uc5ec\uae30\uc5d0 \uc2e4\uc81c \ub2f5\ubcc0\uc774 \ud45c\uc2dc\ub429\ub2c8\ub2e4.""}, {""user_input"": ""\uc5d0\ub9ad\uc2a8"", ""response"": ""\uac00\uc9dc \ub2f5\ubcc0 2""}]","[""\u3147"", ""\u3147"", ""\u3147""]",{}
"[{""user_input"": ""\u3134\u3147\u3134\u3147"", ""response"": ""\uc5ec\uae30\uc5d0 \uc2e4\uc81c \ub2f5\ubcc0\uc774 \ud45c\uc2dc\ub429\ub2c8\ub2e4.""}, {""user_input"": ""\u3134\u3147\u3134\u3147"", ""response"": ""\uc5ec\uae30\uc5d0 \uc2e4\uc81c \ub2f5\ubcc0\uc774 \ud45c\uc2dc\ub429\ub2c8\ub2e4.""}]","[""\u3147"", ""\u3147"", ""\u3147""]",{}
[],"['ㅇ', 'ㅇ', 'ㅇ']",{}
"[{'user_input': 'ㄴㄴㄴㄴ', 'response': '여기에 실제 답변이 표시됩니다.'}]","['ㅇ', 'ㅇ', 'ㅇ']",{}
"[{'user_input': 'ㅇㅇ', 'response': '여기에 실제 답변이 표시됩니다.'}]","['ㅇ', 'ㅇ', 'ㅇ']","{'student_phone': 'ㅇㅇ', 'student_university': 'ㅇ', 'student_grade': '3학년', 'student_major': 'ㅇ'}"
